date,base,quote,rate
2023-01-01,INR,EUR,0.01134
2023-01-02,INR,EUR,0.01133
2023-01-03,INR,EUR,0.01138
2023-01-04,INR,EUR,0.01141
2023-01-05,INR,EUR,0.01141
2023-01-06,INR,EUR,0.01147
2023-01-07,INR,EUR,0.01148
2023-01-08,INR,EUR,0.01148
2023-01-09,INR,EUR,0.01139
2023-01-10,INR,EUR,0.01136
2023-01-11,INR,EUR,0.0114
2023-01-12,INR,EUR,0.01139
2023-01-13,INR,EUR,0.01135
2023-01-14,INR,EUR,0.01135
2023-01-15,INR,EUR,0.01135
2023-01-16,INR,EUR,0.01134
2023-01-17,INR,EUR,0.01131
2023-01-18,INR,EUR,0.01133
2023-01-19,INR,EUR,0.01137
2023-01-20,INR,EUR,0.01137
2023-01-21,INR,EUR,0.01137
2023-01-22,INR,EUR,0.01137
2023-01-23,INR,EUR,0.01133
2023-01-24,INR,EUR,0.01129
2023-01-25,INR,EUR,0.01127
2023-01-26,INR,EUR,0.01127
2023-01-27,INR,EUR,0.01128
2023-01-28,INR,EUR,0.01128
2023-01-29,INR,EUR,0.01127
2023-01-30,INR,EUR,0.01128
2023-01-31,INR,EUR,0.01128
2023-02-01,INR,EUR,0.01125
2023-02-02,INR,EUR,0.01113
2023-02-03,INR,EUR,0.01116
2023-02-04,INR,EUR,0.01117
2023-02-05,INR,EUR,0.01117
2023-02-06,INR,EUR,0.01122
2023-02-07,INR,EUR,0.01126
2023-02-08,INR,EUR,0.01127
2023-02-09,INR,EUR,0.01127
2023-02-10,INR,EUR,0.01128
2023-02-11,INR,EUR,0.01129
2023-02-12,INR,EUR,0.01129
2023-02-13,INR,EUR,0.01131
2023-02-14,INR,EUR,0.01126
2023-02-15,INR,EUR,0.01125
2023-02-16,INR,EUR,0.01128
2023-02-17,INR,EUR,0.01131
2023-02-18,INR,EUR,0.01132
2023-02-19,INR,EUR,0.01132
2023-02-20,INR,EUR,0.01131
2023-02-21,INR,EUR,0.01131
2023-02-22,INR,EUR,0.01132
