model_name,initial_os,release_date,discontinued_date,support_ended,final_os,support_lifespan_max,support_lifespan_min,support_status,release_year
iPhone,iPhone OS 1.0,2007-06-29,2008-06-09,2010-06-21,iPhone OS 3.1.3,"2 years, 11 months",2 years,Discontinued and unsupported,2007
iPhone 3G,iPhone OS 2.0,2008-07-11,2010-08-09,2011-03-03,iOS 4.2.1,"2 years, 7 months",6 months,Discontinued and unsupported,2008
iPhone 3GS,iPhone OS 3.0,2009-06-19,2012-09-12,2013-09-18,iOS 6.1.3 (6.1.6),"4 years, 2 months",1 year,Discontinued and unsupported,2009
iPhone 4,iOS 4.0,2010-06-24,2013-09-10,2014-09-17,iOS 7.1.2,"4 years, 2 months",1 year,Discontinued and unsupported,2010
iPhone 4s,iOS 5.0,2011-10-14,2014-09-09,2016-09-13,iOS 9.3.5 (9.3.6),"4 years, 10 months",2 years,Discontinued and unsupported,2011
iPhone 5,iOS 6.0,2012-09-21,2013-09-10,2017-09-19,iOS 10.3.3 (10.3.4),"4 years, 11 months",4 years,Discontinued and unsupported,2012
iPhone 5c,iOS 7.0,2013-09-20,2015-09-09,2017-09-19,iOS 10.3.3,"3 years, 11 months",2 years,Discontinued and unsupported,2013
iPhone 5s,iOS 7.0,2013-09-20,2016-03-21,2019-09-18,iOS 12.4.1 (12.5.8),"5 years, 11 months","3 years, 5 months",Discontinued and unsupported,2013
iPhone 6,iOS 8.0,2014-09-19,2016-09-07,2019-09-18,iOS 12.4.1 (12.5.8),"4 years, 11 months",3 years,Discontinued and unsupported,2014
iPhone 6 Plus,iOS 8.0,2014-09-19,2016-09-07,2019-09-18,iOS 12.4.1 (12.5.8),"4 years, 11 months",3 years,Discontinued and unsupported,2014
iPhone 6s,iOS 9.0,2015-09-25,2018-09-12,2022-09-12,iOS 15.6.1 (15.8.7),"6 years, 11 months",4 years,"Discontinued and unsupported, critical security bug fixes only",2015
iPhone 6s Plus,iOS 9.0,2015-09-25,2018-09-12,2022-09-12,iOS 15.6.1 (15.8.7),"6 years, 11 months",4 years,"Discontinued and unsupported, critical security bug fixes only",2015
iPhone SE (1st),iOS 9.3,2016-03-31,2018-09-12,2022-09-12,iOS 15.6.1 (15.8.7),"6 years, 5 months",4 years,"Discontinued and unsupported, critical security bug fixes only",2016
iPhone 7,iOS 10.0,2016-09-16,2019-09-10,2022-09-12,iOS 15.6.1 (15.8.7),"5 years, 11 months",3 years,"Discontinued and unsupported, critical security bug fixes only",2016
iPhone 7 Plus,iOS 10.0,2016-09-16,2019-09-10,2022-09-12,iOS 15.6.1 (15.8.7),"5 years, 11 months",3 years,"Discontinued and unsupported, critical security bug fixes only",2016
iPhone 8,iOS 11.0,2017-09-22,2020-04-15,2023-09-18,iOS 16.6.1 (16.7.15),"5 years, 11 months","3 years, 1 month","Discontinued and unsupported, critical security bug fixes only",2017
iPhone 8 Plus,iOS 11.0,2017-09-22,2020-04-15,2023-09-18,iOS 16.6.1 (16.7.15),"5 years, 11 months","3 years, 1 month","Discontinued and unsupported, critical security bug fixes only",2017
iPhone X,iOS 11.0.1,2017-11-03,2018-09-12,2023-09-18,iOS 16.6.1 (16.7.15),"5 years, 10 months","5 years, 1 month","Discontinued and unsupported, critical security bug fixes only",2017
iPhone XS,iOS 12.0,2018-09-21,2019-09-10,2025-09-15,iOS 18.7 (iOS 18.7.9),7 years,6 years,"Discontinued and unsupported, critical security bug fixes only",2018
iPhone XS Max,iOS 12.0,2018-09-21,2019-09-10,2025-09-15,iOS 18.7 (iOS 18.7.9),7 years,6 years,"Discontinued and unsupported, critical security bug fixes only",2018
iPhone XR,iOS 12.0,2018-10-26,2021-09-14,2025-09-15,iOS 18.7 (iOS 18.7.9),"6 years, 10 months",4 years,"Discontinued and unsupported, critical security bug fixes only",2018
iPhone 11,iOS 13.0,2019-09-20,2022-09-07,,–,"6 years, 9 months","3 years, 9 months","Discontinued, still supported",2019
iPhone 11 Pro,iOS 13.0,2019-09-20,2020-10-13,,–,"6 years, 9 months","5 years, 8 months","Discontinued, still supported",2019
iPhone 11 Pro Max,iOS 13.0,2019-09-20,2020-10-13,,–,"6 years, 9 months","5 years, 8 months","Discontinued, still supported",2019
iPhone SE (2nd),iOS 13.4,2020-04-24,2022-03-08,,–,"6 years, 2 months","4 years, 3 months","Discontinued, still supported",2020
iPhone 12,iOS 14.1,2020-10-23,2023-09-12,,–,"5 years, 8 months","3 years, 9 months","Discontinued, still supported",2020
iPhone 12 Mini,iOS 14.1,2020-10-23,2023-09-12,,–,"5 years, 8 months","3 years, 9 months","Discontinued, still supported",2020
iPhone 12 Pro,iOS 14.1 (12 Pro) iOS 14.2 (12 Pro Max),2020-10-23,2021-09-14,,–,"5 years, 8 months (12 Pro) 5 years, 7 months (12 Pro Max)","4 years, 9 months","Discontinued, still supported",2020
iPhone 12 Pro Max,iOS 14.1 (12 Pro) iOS 14.2 (12 Pro Max),2020-10-23,2021-09-14,,–,"5 years, 8 months (12 Pro) 5 years, 7 months (12 Pro Max)","4 years, 9 months","Discontinued, still supported",2020
iPhone 13,iOS 15.0,2021-09-24,2024-09-09,,–,"4 years, 9 months","2 years, 9 months","Discontinued, still supported",2021
iPhone 13 Mini,iOS 15.0,2021-09-24,2024-09-09,,–,"4 years, 9 months","2 years, 9 months","Discontinued, still supported",2021
iPhone 13 Pro,iOS 15.0,2021-09-24,2022-09-07,,–,"4 years, 9 months","3 years, 9 months","Discontinued, still supported",2021
iPhone 13 Pro Max,iOS 15.0,2021-09-24,2022-09-07,,–,"4 years, 9 months","3 years, 9 months","Discontinued, still supported",2021
iPhone SE (3rd),iOS 15.4,2022-03-18,2025-02-19,,–,"4 years, 3 months","1 year, 4 months","Discontinued, still supported",2022
iPhone 14,iOS 16.0,2022-09-16,2025-02-19,,–,"3 years, 9 months","1 year, 4 months","Discontinued, still supported",2022
iPhone 14 Plus,iOS 16.0,2022-09-16,2025-02-19,,–,"3 years, 9 months","1 year, 4 months","Discontinued, still supported",2022
iPhone 14 Pro,iOS 16.0,2022-09-16,2023-09-12,,–,"3 years, 9 months","2 years, 9 months","Discontinued, still supported",2022
